Timestamp,Gender,age,marital_status,student _yrs,ongoing_yr,Department,mnt_ fam_ incm,afmi,aware_Bal_diet,fbl, weight,height, hhac,avg_slp_hours,nat_fruit_juice,fries, green_salad,carrots, vegetables,sft_drink,smoke,cnfj,cf,cgs,ccarrots,cveg,csd,csmk,cslppat 
2021/08/12 1:22:36 pm GMT+6,0,26-30,Single,Undergraduate,Not a student now,Business and Economics,More than 1 Lakh,Yes. (It got reduced),No,No,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,No,6 - 8 hours,1 - 3 times a week,7 - 10 times a week,1-3 times a week,4 - 6 times a week,7 - 10 times a week,7 - 10 times a week,More than 14 times a week,1 - 3 times a week,7 - 10 times a week,1-3 times a week,1-3 times a week,7 - 10 times a week,7 - 10 times a week,More than 14 times a week,I sleep more
2021/08/12 1:23:50 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"Below 40,000",Yes. (It got reduced),Yes,No,51-60 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I didn't eat carrots),1-3 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I don't eat carrots),1-3 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 1:28:06 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"40,000 - 60,000",Yes. (It got reduced),Yes,No,Less than 50 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),1-3 times a week,More than 10 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,1-3 times a week,None (I don't eat carrots),1-3 times a week,7 - 10 times a week,None (I don't smoke),I sleep more
2021/08/12 1:28:06 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,More than 1 Lakh,Yes. (It got reduced),Yes,No,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,No,4 - 6 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,7 - 10 times a week,7 - 10 times a week,6 - 14 times a week,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,7 - 10 times a week,7 - 10 times a week,Less 2 times a week,I sleep less
2021/08/12 1:29:50 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Engineering and Physical Sciences,"Below 40,000",Yes. (It got reduced),Yes,Yes,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),more than 8 hours,None (I didn't drink fruit juice at all),None (I didn't eat potatoes),1-3 times a week,None (I didn't eat carrots),1-3 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),4 - 6 times a week,1-3 times a week,None (I don't eat carrots),1-3 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:31:38 pm GMT+6,0,21-25,Single,Undergraduate,3rd year,Engineering and Physical Sciences,"40,000 - 60,000",Yes. (It got reduced),No,No,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),more than 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I didn't eat carrots),1-3 times a week,4 - 6 times a week,2 - 5 times a week,None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I don't eat carrots),1-3 times a week,4 - 6 times a week,2 - 5 times a week,It did not have any impact at all
2021/08/12 1:36:47 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Business and Economics,"80,000 - 1 Lakh",No (Stayed more or less the same / increased),Yes,Yes,61-70 kg,5 ft. - 5 ft 3 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,More than 10 times a week,None (I didn't like them),None (I didn't smoke),7 - 10 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,More than 10 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:38:21 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"40,000 - 60,000",Yes. (It got reduced),No,No,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,No,6 - 8 hours,1 - 3 times a week,1-3 times a week,None (I didn't eat green salad),1-3 times a week,More than 10 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,More than 10 times a week,1-3 times a week,1-3 times a week,More than 10 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 1:42:08 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"40,000 - 60,000",No (Stayed more or less the same / increased),Yes,No,51-60 kg,Below 5 feet,No,more than 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I didn't eat carrots),1-3 times a week,4 - 6 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I don't eat carrots),1-3 times a week,4 - 6 times a week,None (I don't smoke),I sleep more
2021/08/12 1:42:09 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Humanities and Social Sciences,"40,000 - 60,000",No (Stayed more or less the same / increased),Yes,Yes,Less than 50 kg,5 ft. - 5 ft 3 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),7 - 10 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,1-3 times a week,None (I don't eat green salad),None (I don't eat carrots),4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:42:09 pm GMT+6,1,15-20,Single,Undergraduate,1st year,Science,"60,000 - 80,000",No (Stayed more or less the same / increased),Yes,Yes,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I didn't eat carrots),1-3 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 1:44:43 pm GMT+6,0,21-25,Single,Undergraduate,2nd year,MBBS,"Below 40,000",No (Stayed more or less the same / increased),Yes,Yes,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,None (I didn't eat potatoes),4 - 6 times a week,1-3 times a week,4 - 6 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),4 - 6 times a week,1-3 times a week,4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:47:02 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,philosophy ,"40,000 - 60,000",Yes. (It got reduced),Yes,No,Less than 50 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,None (I didn't eat green salad),4 - 6 times a week,7 - 10 times a week,4 - 6 times a week,None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,None (I don't eat green salad),4 - 6 times a week,4 - 6 times a week,4 - 6 times a week,None (I don't smoke),I sleep less
2021/08/12 1:47:45 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Bachelor of Dental Surgery(BDS),"Below 40,000",Yes. (It got reduced),Yes,No,71-80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),1-3 times a week,1-3 times a week,4 - 6 times a week,None (I don't smoke),I sleep more
2021/08/12 1:48:48 pm GMT+6,0,21-25,Single,Undergraduate,3rd year,MBBS,"Below 40,000",Yes. (It got reduced),No,No,More than 80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (regularly),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,1-3 times a week,4 - 6 times a week,None (I don't eat carrots),7 - 10 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:51:20 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"60,000 - 80,000",Yes. (It got reduced),Yes,Yes,Less than 50 kg,5 ft. - 5 ft 3 inch,No,more than 8 hours,7 - 10 times a week,1-3 times a week,1-3 times a week,None (I didn't eat carrots),1-3 times a week,1-3 times a week,None (I didn't smoke),7 - 10 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 1:51:32 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Engineering and Physical Sciences,"Below 40,000",Yes. (It got reduced),Yes,Yes,61-70 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,None (I didn't eat potatoes),1-3 times a week,None (I didn't eat carrots),More than 10 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),1-3 times a week,None (I don't eat carrots),More than 10 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/12 1:57:24 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Medicals students ,"40,000 - 60,000",Yes. (It got reduced),No,No,51-60 kg,5 ft. - 5 ft 3 inch,No,more than 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,4 - 6 times a week,1-3 times a week,More than 10 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,7 - 10 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 1:59:12 pm GMT+6,0,21-25,Single,Undergraduate,2nd year,Health and life sciences,"Below 40,000",No (Stayed more or less the same / increased),Yes,Yes,51-60 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,More than 10 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,1-3 times a week,1-3 times a week,None (I don't eat carrots),More than 10 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/12 1:59:31 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Medical,"40,000 - 60,000",No (Stayed more or less the same / increased),Yes,Yes,51-60 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,4 - 6 times a week,1-3 times a week,7 - 10 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,4 - 6 times a week,1-3 times a week,7 - 10 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 2:01:53 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"40,000 - 60,000",No (Stayed more or less the same / increased),Yes,Yes,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,4 - 6 times a week,1-3 times a week,More than 10 times a week,1-3 times a week,More than 10 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,7 - 10 times a week,1-3 times a week,More than 10 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/12 2:01:59 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Medical science,"Below 40,000",Yes. (It got reduced),No,No,51-60 kg,5 ft. - 5 ft 3 inch,Yes (regularly),more than 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I didn't eat carrots),7 - 10 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I don't eat carrots),7 - 10 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/12 2:02:01 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Law,"Below 40,000",No (Stayed more or less the same / increased),Yes,Yes,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),6 - 8 hours,None (I didn't drink fruit juice at all),None (I didn't eat potatoes),4 - 6 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,2 - 5 times a week,None (I don't drink fruit juice at all),None (I don't eat potatoes),7 - 10 times a week,None (I don't eat carrots),1-3 times a week,None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/12 2:13:54 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"Below 40,000",No (Stayed more or less the same / increased),No,No,Less than 50 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),4 - 6 hours,1 - 3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't smoke),I sleep less
2021/08/12 2:18:06 pm GMT+6,1,26-30,Single,Postgraduate student,4th year and above,Health and life sciences,More than 1 Lakh,No (Stayed more or less the same / increased),Yes,No,51-60 kg,5 ft. - 5 ft 3 inch,No,6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),4 - 6 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),None (I don't eat carrots),4 - 6 times a week,1-3 times a week,None (I don't smoke),I sleep less
2021/08/12 2:18:36 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Engineering and Physical Sciences,"Below 40,000",Yes. (It got reduced),Yes,No,51-60 kg,5 ft. - 5 ft 3 inch,Yes (regularly),4 - 6 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,4 - 6 times a week,7 - 10 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),None (I don't eat potatoes),1-3 times a week,4 - 6 times a week,7 - 10 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 2:21:52 pm GMT+6,1,26-30,Married,Undergraduate,4th year and above,Medical science ,"80,000 - 1 Lakh",Yes. (It got reduced),Yes,No,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),4 - 6 hours,1 - 3 times a week,None (I didn't eat potatoes),1-3 times a week,None (I didn't eat carrots),4 - 6 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),4 - 6 times a week,1-3 times a week,4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep less
2021/08/12 2:33:49 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Medical  science ,"Below 40,000",Yes. (It got reduced),Yes,No,61-70 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),more than 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),7 - 10 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),None (I don't eat carrots),More than 10 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 2:42:34 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"40,000 - 60,000",Yes. (It got reduced),No,No,51-60 kg,5 ft. - 5 ft 3 inch,No,6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't eat them),1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),1-3 times a week,None (I don't eat them),1-3 times a week,None (I don't smoke),I sleep less
2021/08/12 2:47:37 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Health and life sciences,"40,000 - 60,000",No (Stayed more or less the same / increased),Yes,Yes,51-60 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),More than 10 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,None (I don't eat green salad),None (I don't eat carrots),More than 10 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 2:49:22 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,More than 1 Lakh,No (Stayed more or less the same / increased),Yes,No,More than 80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,4 - 6 times a week,1-3 times a week,7 - 10 times a week,None (I didn't eat carrots),More than 10 times a week,4 - 6 times a week,None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,7 - 10 times a week,None (I don't eat carrots),7 - 10 times a week,1-3 times a week,None (I don't smoke),I sleep less
2021/08/12 2:49:57 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Business and Economics,"60,000 - 80,000",Yes. (It got reduced),Yes,No,51-60 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,None (I didn't eat green salad),1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 2:53:10 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Medical,"Below 40,000",Yes. (It got reduced),No,No,More than 80 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),more than 8 hours,4 - 6 times a week,None (I didn't eat potatoes),4 - 6 times a week,None (I didn't eat carrots),4 - 6 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),None (I don't eat potatoes),None (I don't eat green salad),None (I don't eat carrots),4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 2:55:18 pm GMT+6,1,21-25,Married,Undergraduate,4th year and above,Health and life sciences,"Below 40,000",Yes. (It got reduced),Yes,Yes,Less than 50 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,None (I didn't eat potatoes),1-3 times a week,1-3 times a week,7 - 10 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),None (I don't eat potatoes),1-3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I don't smoke),It did not have any impact at all
2021/08/12 2:56:11 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"Below 40,000",No (Stayed more or less the same / increased),Yes,Yes,61-70 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),4 - 6 hours,1 - 3 times a week,1-3 times a week,4 - 6 times a week,4 - 6 times a week,More than 10 times a week,More than 10 times a week,None (I didn't smoke),7 - 10 times a week,7 - 10 times a week,4 - 6 times a week,7 - 10 times a week,More than 10 times a week,More than 10 times a week,None (I don't smoke),I sleep more
2021/08/12 2:57:58 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Health and life sciences,"Below 40,000",Yes. (It got reduced),No,No,51-60 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),None (I didn't eat potatoes),1-3 times a week,None (I didn't eat carrots),1-3 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),None (I don't eat potatoes),1-3 times a week,None (I don't eat carrots),1-3 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 2:59:51 pm GMT+6,1,15-20,Single,Undergraduate,2nd year,MBBS,"Below 40,000",Yes. (It got reduced),No,No,61-70 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),more than 8 hours,None (I didn't drink fruit juice at all),4 - 6 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,None (I don't eat carrots),4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 3:00:01 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,CSE,"80,000 - 1 Lakh",Yes. (It got reduced),Yes,No,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,1-3 times a week,None (I didn't eat carrots),1-3 times a week,4 - 6 times a week,6 - 14 times a week,1 - 3 times a week,4 - 6 times a week,1-3 times a week,None (I don't eat carrots),1-3 times a week,4 - 6 times a week,6 - 14 times a week,I sleep more
2021/08/12 3:00:16 pm GMT+6,0,15-20,Single,Undergraduate,1st year,Business and Economics,"60,000 - 80,000",Yes. (It got reduced),No,No,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),4 - 6 hours,7 - 10 times a week,4 - 6 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,4 - 6 times a week,2 - 5 times a week,4 - 6 times a week,None (I don't eat potatoes),None (I don't eat green salad),None (I don't eat carrots),None (I don't eat them),None (I don't like them),None (I don't smoke),It did not have any impact at all
2021/08/12 3:00:54 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"Below 40,000",No (Stayed more or less the same / increased),Yes,No,More than 80 kg,6 ft. or above,Yes (regularly),6 - 8 hours,1 - 3 times a week,1-3 times a week,None (I didn't eat green salad),1-3 times a week,4 - 6 times a week,7 - 10 times a week,More than 14 times a week,1 - 3 times a week,1-3 times a week,None (I don't eat green salad),1-3 times a week,4 - 6 times a week,More than 10 times a week,More than 14 times a week,I sleep more
2021/08/12 3:02:00 pm GMT+6,1,15-20,Single,Undergraduate,2nd year,Business and Economics,"40,000 - 60,000",No (Stayed more or less the same / increased),Yes,Yes,51-60 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't smoke),It did not have any impact at all
2021/08/12 3:03:03 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Pharmacy ,"40,000 - 60,000",Yes. (It got reduced),Yes,Yes,Less than 50 kg,5 ft. - 5 ft 3 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 3:07:43 pm GMT+6,0,21-25,Single,Undergraduate,3rd year,Health and life sciences,"Below 40,000",Yes. (It got reduced),Yes,No,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,4 - 6 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 3:11:39 pm GMT+6,0,21-25,Single,Undergraduate,2nd year,Business and Economics,"80,000 - 1 Lakh",Yes. (It got reduced),Yes,Yes,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,2 - 5 times a week,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,Less 2 times a week,It did not have any impact at all
2021/08/12 3:14:11 pm GMT+6,0,21-25,Single,Undergraduate,Not a student now,Engineering and Physical Sciences,"40,000 - 60,000",Yes. (It got reduced),No,No,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,4 - 6 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 3:15:46 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"Below 40,000",No (Stayed more or less the same / increased),Yes,Yes,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),more than 8 hours,None (I didn't drink fruit juice at all),1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,1-3 times a week,None (I don't smoke),I sleep more
2021/08/12 3:18:32 pm GMT+6,1,21-25,Single,Undergraduate,3rd year,Health and life sciences,"40,000 - 60,000",Yes. (It got reduced),Yes,No,61-70 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),4 - 6 hours,1 - 3 times a week,1-3 times a week,4 - 6 times a week,None (I didn't eat carrots),1-3 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,4 - 6 times a week,None (I don't eat carrots),4 - 6 times a week,1-3 times a week,None (I don't smoke),It did not have any impact at all
2021/08/12 3:20:52 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,"Below 40,000",Yes. (It got reduced),Yes,No,Less than 50 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,None (I didn't smoke),1 - 3 times a week,1-3 times a week,1-3 times a week,1-3 times a week,4 - 6 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 3:23:31 pm GMT+6,0,21-25,Single,Undergraduate,3rd year,Health and life sciences,"Below 40,000",Yes. (It got reduced),Yes,No,51-60 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (regularly),6 - 8 hours,1 - 3 times a week,None (I didn't eat potatoes),1-3 times a week,1-3 times a week,More than 10 times a week,None (I didn't like them),None (I didn't smoke),None (I don't drink fruit juice at all),None (I don't eat potatoes),1-3 times a week,None (I don't eat carrots),More than 10 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 3:24:43 pm GMT+6,0,21-25,Single,Undergraduate,2nd year,Engineering and Physical Sciences,"Below 40,000",No (Stayed more or less the same / increased),No,No,71-80 kg,5 ft. - 5 ft 3 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,None (I didn't eat potatoes),1-3 times a week,None (I didn't eat carrots),1-3 times a week,None (I didn't like them),None (I didn't smoke),1 - 3 times a week,None (I don't eat potatoes),None (I don't eat green salad),None (I don't eat carrots),1-3 times a week,None (I don't like them),None (I don't smoke),I sleep more
2021/08/12 3:28:15 pm GMT+6,0,21-25,Single,Undergraduate,4th year and above,Engineering and Physical Sciences,"40,000 - 60,000",Yes. (It got reduced),Yes,Yes,61-70 kg,5 ft. 8 inch - 5 ft. 11 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,1-3 times a week,None (I didn't eat green salad),None (I didn't eat carrots),1-3 times a week,None (I didn't like them),6 - 14 times a week,1 - 3 times a week,1-3 times a week,None (I don't eat green salad),None (I don't eat carrots),1-3 times a week,None (I don't like them),6 - 14 times a week,I sleep more
2021/08/12 3:36:24 pm GMT+6,1,21-25,Single,Undergraduate,4th year and above,Health and life sciences,More than 1 Lakh,No (Stayed more or less the same / increased),Yes,No,71-80 kg,5 ft. 4 inch - 5 ft. 7 inch,Yes (sometimes),6 - 8 hours,1 - 3 times a week,None (I didn't eat potatoes),1-3 times a week,1-3 times a week,4 - 6 times a week,4 - 6 times a week,None (I didn't smoke),None (I don't drink fruit juice at all),None (I don't eat potatoes),4 - 6 times a week,1-3 times a week,7 - 10 times a week,1-3 times a week,None (I don't smoke),I sleep more
